名称,路径,类型,年份,体积(字节)
CFA二级备考计划表（详细到知识点）.xlsx,/CFA2026/02-知识精讲补充/百日计划表/CFA二级备考计划表（详细到知识点）.xlsx,文件,2026,45514
2026CFA二级,/CFA2026/2026CFA二级,文件夹,2026,
GD 2026 CFA二级,/CFA2026/2026CFA二级/GD 2026 CFA二级,文件夹,2026,
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/GD 2026 CFA二级/0.前导阶段/00.金融计算器的使用/0.CFA二级课程必看说明！.txt,文件,2026,341
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/GD 2026 CFA二级/1.知识精讲/01.数量 Luke/0.CFA二级课程必看说明！.txt,文件,2026,341
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/GD 2026 CFA二级/1.知识精讲/02.经济 Sylvia/0.CFA二级课程必看说明！.txt,文件,2026,341
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/GD 2026 CFA二级/1.知识精讲/03.财报  chen/0.CFA二级课程必看说明！.txt,文件,2026,341
JC 2026 CFA二级,/CFA2026/2026CFA二级/JC 2026 CFA二级,文件夹,2026,
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/前导 Part I/0.CFA二级课程必看说明！.txt,文件,2026,341
1.CFA二级框架介绍（经济）  视频讲解视频讲解.sz,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/前导 Part I/1.CFA二级框架介绍（经济）  视频讲解视频讲解.sz,文件,2026,137701479
2.CFA二级框架介绍（数量）  视频讲解视频讲解.sz,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/前导 Part I/2.CFA二级框架介绍（数量）  视频讲解视频讲解.sz,文件,2026,92622938
3.CFA二级框架介绍（固收）  视频讲解视频讲解.sz,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/前导 Part I/3.CFA二级框架介绍（固收）  视频讲解视频讲解.sz,文件,2026,127417442
4.CFA二级框架介绍（组合）  视频讲解视频讲解.sz,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/前导 Part I/4.CFA二级框架介绍（组合）  视频讲解视频讲解.sz,文件,2026,73385128
5.CFA二级框架介绍（道德）  视频讲解视频讲解.sz,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/前导 Part I/5.CFA二级框架介绍（道德）  视频讲解视频讲解.sz,文件,2026,122567070
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/前导 Part Ⅱ/0.CFA二级课程必看说明！.txt,文件,2026,341
1.CFA二级框架介绍（财报）  视频讲解.sz,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/前导 Part Ⅱ/1.CFA二级框架介绍（财报）  视频讲解.sz,文件,2026,318028783
CFA二级前导_林正_打印版.pdf,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/讲义汇总/CFA二级前导_林正_打印版.pdf,文件,2026,487555
CFA二级前导_林正_标准版.pdf,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/讲义汇总/CFA二级前导_林正_标准版.pdf,文件,2026,564160
CFA二级前导_韩霄_打印版.pdf,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/讲义汇总/CFA二级前导_韩霄_打印版.pdf,文件,2026,651508
CFA二级前导_韩霄_标准版.pdf,/CFA2026/2026CFA二级/JC 2026 CFA二级/0.前导段/讲义汇总/CFA二级前导_韩霄_标准版.pdf,文件,2026,615488
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/JC 2026 CFA二级/1.基础段/0.CFA二级课程必看说明！.txt,文件,2026,341
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/JC 2026 CFA二级/1.基础段/1.Fixed Income/0.CFA二级课程必看说明！.txt,文件,2026,341
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/JC 2026 CFA二级/1.基础段/2.Economics/0.CFA二级课程必看说明！.txt,文件,2026,341
0.CFA二级课程必看说明！.txt,/CFA2026/2026CFA二级/JC 2026 CFA二级/1.基础段/3.Quantitative Methods/0.CFA二级课程必看说明！.txt,文件,2026,341
25&26年CFA二级电子资料,/CFA2026/25&26年CFA二级电子资料,文件夹,2026,
2025CFA二级原版书教材,/CFA2026/25&26年CFA二级电子资料/2025CFA二级原版书教材,文件夹,2026,
24CFA二级资料,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料,文件夹,2026,
2024CFA二级中文教材上.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024CFA二级中文教材上.pdf,文件,2026,163252304
2024CFA二级中文教材下.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024CFA二级中文教材下.pdf,文件,2026,154401244
2024年cfa二级教材,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材,文件夹,2026,
2024CFA一级原版书教材,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA一级原版书教材,文件夹,2026,
CFA 2024 Curriculum L1 Vol 1.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA一级原版书教材/CFA 2024 Curriculum L1 Vol 1.pdf,文件,2026,16670042
CFA 2024 Curriculum L1 Vol 2.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA一级原版书教材/CFA 2024 Curriculum L1 Vol 2.pdf,文件,2026,7405742
CFA 2024 Curriculum L1 Vol 3.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA一级原版书教材/CFA 2024 Curriculum L1 Vol 3.pdf,文件,2026,7031134
CFA 2024 Curriculum L1 Vol 4.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA一级原版书教材/CFA 2024 Curriculum L1 Vol 4.pdf,文件,2026,12271748
CFA 2024 Curriculum L1 Vol 5.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA一级原版书教材/CFA 2024 Curriculum L1 Vol 5.pdf,文件,2026,10210395
CFA 2024 Curriculum L1 Vol 6.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA一级原版书教材/CFA 2024 Curriculum L1 Vol 6.pdf,文件,2026,3616095
2024CFA二级notes,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA二级notes,文件夹,2026,
CFA 2024 Level II - Schweser Quicksheet.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA二级notes/CFA 2024 Level II - Schweser Quicksheet.pdf,文件,2026,4388238
CFA 2024 Level II - SchweserNotes Book 1.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA二级notes/CFA 2024 Level II - SchweserNotes Book 1.pdf,文件,2026,3796425
CFA 2024 Level II - SchweserNotes Book 2.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA二级notes/CFA 2024 Level II - SchweserNotes Book 2.pdf,文件,2026,3900919
CFA 2024 Level II - SchweserNotes Book 3.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA二级notes/CFA 2024 Level II - SchweserNotes Book 3.pdf,文件,2026,4402785
CFA 2024 Level II - SchweserNotes Book 4.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA二级notes/CFA 2024 Level II - SchweserNotes Book 4.pdf,文件,2026,4170589
CFA 2024 Level II - SchweserNotes Book 5.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA二级notes/CFA 2024 Level II - SchweserNotes Book 5.pdf,文件,2026,2767082
2024CFA二级课后题,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/2024CFA二级课后题,文件夹,2026,
CFA 2024 二级原版书,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/CFA 2024 二级原版书,文件夹,2026,
CFA 2024 Curriculum L2 Vol 1.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/CFA 2024 二级原版书/CFA 2024 Curriculum L2 Vol 1.pdf,文件,2026,17674542
CFA 2024 Curriculum L2 Vol 2.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/CFA 2024 二级原版书/CFA 2024 Curriculum L2 Vol 2.pdf,文件,2026,4195331
CFA 2024 Curriculum L2 Vol 3.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/CFA 2024 二级原版书/CFA 2024 Curriculum L2 Vol 3.pdf,文件,2026,4567883
CFA 2024 Curriculum L2 Vol 4.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/CFA 2024 二级原版书/CFA 2024 Curriculum L2 Vol 4.pdf,文件,2026,11608457
CFA 2024 Curriculum L2 Vol 5.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/CFA 2024 二级原版书/CFA 2024 Curriculum L2 Vol 5.pdf,文件,2026,8279739
CFA 2024 Curriculum L2 Vol 6.pdf,/CFA2026/25&26年CFA二级电子资料/24CFA二级资料/2024年cfa二级教材/CFA 2024 二级原版书/CFA 2024 Curriculum L2 Vol 6.pdf,文件,2026,5261242
25年CFA二级notes,/CFA2026/25&26年CFA二级电子资料/25年CFA二级notes,文件夹,2026,
品职教育CFA二级公式秘钥.pdf,/CFA2026/25&26年CFA二级电子资料/公式秘钥/品职教育CFA二级公式秘钥.pdf,文件,2026,1583911
品职教育 2025 CFA二级框架图(1).pdf,/CFA2026/25&26年CFA二级电子资料/品职教育 2025 CFA二级框架图(1).pdf,文件,2026,12543115
品职教育道德（2025）-中文精讲.pdf,/CFA2026/25&26年CFA二级电子资料/品职教育道德（2025）-中文精讲.pdf,文件,2026,5271137
2023 CFA二级 框架图,/CFA2026/C2思维导图/2023 CFA二级 框架图,文件夹,2026,
2023 品职教育CFA二级知识框架图_Economics_何旋.pdf,/CFA2026/C2思维导图/2023 CFA二级 框架图/2023 品职教育CFA二级知识框架图_Economics_何旋.pdf,文件,2026,1245101
2023.05 品职教育 CFA 二级 Corporate Issuers 知识框架图.pdf,/CFA2026/C2思维导图/2023 CFA二级 框架图/2023.05 品职教育 CFA 二级 Corporate Issuers 知识框架图.pdf,文件,2026,2048863
品职教育 2023.5CFA二级Equity知识框架图.pdf,/CFA2026/C2思维导图/2023 CFA二级 框架图/品职教育 2023.5CFA二级Equity知识框架图.pdf,文件,2026,1297740
品职教育CFA二级知识框架图 Alternative 李斯克 2023.05.pdf,/CFA2026/C2思维导图/2023 CFA二级 框架图/品职教育CFA二级知识框架图 Alternative 李斯克 2023.05.pdf,文件,2026,1250709
CFA二级核心考点_另类.pdf,/CFA2026/C2思维导图/L2-精讲另类-Sylvia/CFA二级核心考点_另类.pdf,文件,2026,640946
cfa二级(持续更新),/CFA2026/C2思维导图/cfa二级(持续更新),文件夹,2026,
CFA 2024 Level II - Schweser Quicksheet.pdf,/CFA2026/CFA 2024 Level II - Schweser Quicksheet.pdf,文件,2026,4388238
CFA 2024 Level II - SchweserNotes Book 1Quantitative Methods and Economics.pdf,/CFA2026/CFA 2024 Level II - SchweserNotes Book 1Quantitative Methods and Economics.pdf,文件,2026,3856161
